DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt
181925,181925,0.500000,UT,,,21:35:56 11-Nov-2019,,1,-25.5007,-48.4596,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,21:36:37 11-Nov-2019,,1,-25.5007,-48.4596,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:12:09 11-Nov-2019,,B,-25.4957,-48.4615,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:31:29 11-Nov-2019,,1,-25.4831,-48.4353,,,,,,,,,25.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:32:13 11-Nov-2019,,1,-25.4831,-48.4353,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,22:33:01 11-Nov-2019,,1,-25.4831,-48.4353,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:33:51 11-Nov-2019,,1,-25.4831,-48.4353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,00:05:06 12-Nov-2019,00:05:05 12-Nov-2019,0,A,-25.4895,-48.4311,CRC,,,,20665,3.400,,,25.30,,,,,,,,,,,,,,94,43,241,,,,,,,,9,,,,87
181925,181925,0.500000,UT,,,00:07:23 12-Nov-2019,,A,-25.4895,-48.4311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:47:00 12-Nov-2019,,B,-25.4853,-48.4309,,,,,,,,,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:47:32 12-Nov-2019,,B,-25.4853,-48.4309,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,01:13:10 12-Nov-2019,,A,-25.4843,-48.4315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,01:13:33 12-Nov-2019,,A,-25.4843,-48.4315,,,,,,,,,25.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,07:14:36 12-Nov-2019,,B,-25.4792,-48.4437,,,,,,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:25:35 12-Nov-2019,,B,-25.4849,-48.4370,,,,,,,,,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:58:25 12-Nov-2019,,B,-25.4861,-48.4319,,,,,20876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:00:42 12-Nov-2019,,B,-25.4861,-48.4319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,23:32:10 12-Nov-2019,,B,-25.4667,-48.4207,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,23:32:35 12-Nov-2019,,B,-25.4667,-48.4207,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
