cor,Region,Method
NA,Qatar,HGPR_corr
NA,Qatar,HGPR_corr
NA,Qatar,HGPR_corr
0.932,Qatar,HGPR_corr
0.481,Qatar,HGPR_corr
NA,Qatar,HGPR_corr
NA,Qatar,HGPR_corr
0.701,Qatar,HGPR_corr
0.528,Brazil_all,HGPR_hybrid
0.719,Brazil_all,HGPR_hybrid
0.847,Brazil_all,HGPR_hybrid
0.528,Brazil_all,HGPR_hybrid
0.528,Brazil_all,HGPR_hybrid
0.528,Brazil_all,HGPR_hybrid
0.683,Brazil_all,HGPR_hybrid
0.701,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
0.522,Brazil_all,HGPR_hybrid
0.886,Brazil_all,HGPR_hybrid
0.621,Brazil_all,HGPR_hybrid
0.485,Brazil_all,HGPR_hybrid
0.406,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
0.406,Brazil_all,HGPR_hybrid
0.832,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
-0.182,Brazil_all,HGPR_hybrid
-0.169,Brazil_all,HGPR_hybrid
0.522,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
-0.415,Brazil_all,HGPR_hybrid
-0.425,Brazil_all,HGPR_hybrid
-0.433,Brazil_all,HGPR_hybrid
0.044,Brazil_all,HGPR_hybrid
0.239,Brazil_all,HGPR_hybrid
0.3,Brazil_all,HGPR_hybrid
0.123,Brazil_all,HGPR_hybrid
-0.144,Brazil_all,HGPR_hybrid
0.406,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
NA,Brazil_all,HGPR_hybrid
-0.38,Brazil_all,HGPR_hybrid
-0.425,Brazil_all,HGPR_hybrid
-0.506,Brazil_all,HGPR_hybrid
0.125,Brazil_all,HGPR_hybrid
0.792,Brazil_all,HGPR_hybrid
0.701,Brazil_all,HGPR_hybrid
0.407,Brazil_all,HGPR_hybrid
0.41,Brazil_all,HGPR_hybrid
0.528,Brazil_main,HGPR_hybrid
0.719,Brazil_main,HGPR_hybrid
0.847,Brazil_main,HGPR_hybrid
0.528,Brazil_main,HGPR_hybrid
0.528,Brazil_main,HGPR_hybrid
0.528,Brazil_main,HGPR_hybrid
0.683,Brazil_main,HGPR_hybrid
0.701,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
0.522,Brazil_main,HGPR_hybrid
0.886,Brazil_main,HGPR_hybrid
0.621,Brazil_main,HGPR_hybrid
0.485,Brazil_main,HGPR_hybrid
0.406,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
0.406,Brazil_main,HGPR_hybrid
0.832,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
0.522,Brazil_main,HGPR_hybrid
0.522,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
0.406,Brazil_main,HGPR_hybrid
0.406,Brazil_main,HGPR_hybrid
0.701,Brazil_main,HGPR_hybrid
0.701,Brazil_main,HGPR_hybrid
0.701,Brazil_main,HGPR_hybrid
0.701,Brazil_main,HGPR_hybrid
0.683,Brazil_main,HGPR_hybrid
0.406,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
NA,Brazil_main,HGPR_hybrid
0.522,Brazil_main,HGPR_hybrid
0.701,Brazil_main,HGPR_hybrid
0.813,Brazil_main,HGPR_hybrid
0.701,Brazil_main,HGPR_hybrid
0.813,Brazil_main,HGPR_hybrid
0.701,Brazil_main,HGPR_hybrid
0.888,Qatar,HGPR_hybrid
0.888,Qatar,HGPR_hybrid
0.798,Qatar,HGPR_hybrid
0.522,Qatar,HGPR_hybrid
0.701,Qatar,HGPR_hybrid
NA,Qatar,HGPR_hybrid
NA,Qatar,HGPR_hybrid
NA,Qatar,HGPR_hybrid
NA,Qatar,HGPR_hybrid
NA,Qatar,HGPR_hybrid
0.944,Qatar,HGPR_hybrid
0.456,Qatar,HGPR_hybrid
NA,Qatar,HGPR_hybrid
NA,Qatar,HGPR_hybrid
0.701,Qatar,HGPR_hybrid
