Age.Class,cor,Region,Method
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.701,Brazil_main,Age
Adult,0.701,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,NA,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.701,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Adult,0.701,Brazil_main,Age
Adult,0.522,Brazil_main,Age
Juv,0.888,Qatar,Age
Juv,0.925,Qatar,Age
Juv,0.528,Qatar,Age
Juv,0.406,Qatar,Age
Juv,0.528,Qatar,Age
Juv,NA,Qatar,Age
Juv,NA,Qatar,Age
Juv,NA,Qatar,Age
Juv,NA,Qatar,Age
Juv,NA,Qatar,Age
Juv,0.557,Qatar,Age
Juv,0.175,Qatar,Age
Juv,NA,Qatar,Age
Juv,NA,Qatar,Age
Juv,0.528,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
Adult,NA,Qatar,Age
