DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
Green,162055,,Transmission,Mk10,1,05:28:20 03-Apr-2017,05:37:50 03-Apr-2017,Dive,1,Square,3.5,3.5,569,571,,
Green,162055,,Transmission,Mk10,1,05:37:50 03-Apr-2017,05:38:20 03-Apr-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,00:09:00 04-Apr-2017,01:15:10 04-Apr-2017,Message,10,,,,3960.000000,3980.000000,,
Green,162055,,Transmission,Mk10,1,00:09:00 04-Apr-2017,00:24:30 04-Apr-2017,Dive,1,Square,3.5,3.5,929,931,,
Green,162055,,Transmission,Mk10,1,00:24:30 04-Apr-2017,00:24:50 04-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,00:24:50 04-Apr-2017,00:41:40 04-Apr-2017,Dive,1,Square,3.0,3.0,1009,1011,,
Green,162055,,Transmission,Mk10,1,00:41:40 04-Apr-2017,00:41:50 04-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,00:41:50 04-Apr-2017,00:49:10 04-Apr-2017,Dive,1,Square,3.5,3.5,439,441,,
Green,162055,,Transmission,Mk10,1,00:49:10 04-Apr-2017,00:49:40 04-Apr-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,00:49:40 04-Apr-2017,01:05:50 04-Apr-2017,Dive,1,Square,3.5,3.5,969,971,,
Green,162055,,Transmission,Mk10,1,01:05:50 04-Apr-2017,01:06:00 04-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,01:06:00 04-Apr-2017,01:14:50 04-Apr-2017,Dive,1,Square,3.5,3.5,529,531,,
Green,162055,,Transmission,Mk10,1,01:14:50 04-Apr-2017,01:15:10 04-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,02:08:00 04-Apr-2017,02:59:00 04-Apr-2017,Message,10,,,,3050.000000,3070.000000,,
Green,162055,,Transmission,Mk10,1,02:08:00 04-Apr-2017,02:14:20 04-Apr-2017,Dive,1,Square,3.0,3.0,379,381,,
Green,162055,,Transmission,Mk10,1,02:14:20 04-Apr-2017,02:14:30 04-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,02:14:30 04-Apr-2017,02:32:20 04-Apr-2017,Dive,1,Square,3.0,3.0,1069,1071,,
Green,162055,,Transmission,Mk10,1,02:32:20 04-Apr-2017,02:33:00 04-Apr-2017,Surface,,,,,39,41,40,0
Green,162055,,Transmission,Mk10,1,02:33:00 04-Apr-2017,02:41:00 04-Apr-2017,Dive,1,Square,3.0,3.0,479,481,,
Green,162055,,Transmission,Mk10,1,02:41:00 04-Apr-2017,02:41:10 04-Apr-2017,Surface,,,,,9,11,10,0
