Platform ID ,Platform,Prg No.,Latitude,Lat (DD),Longitude,Lon (DD),Heading,Speed,Loc. quality,Loc. date,Altitude,Pass,Sat.,Frequency,Msg Date,Comp.,Alarm,Format name,PTT CURRENT ,BATTERY ,NB OF ,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,,,,,,,,,,,,,,,,
144320,,14230,"26° 10' 43""N",26.17861111,"51° 13' 28""E",51.22444444,,,1,03.04.15 11:29:37,0,324,NP,401677409.8,03.04.15 11:27:45,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 13' 28""E","26° 10' 43""N","51° 13' 28""E","26° 10' 43""N",50,3,4,0,-127,677409.8,1362,4775,388,157,816,,,,31,232,18,72,145,84,96,50,0,30,171,153,41,202,233,,,,,,,,,,,,,,,,
144320,,14230,"26° 10' 43""N",26.17861111,"51° 13' 28""E",51.22444444,,,1,03.04.15 11:29:37,0,324,NP,401677409.8,03.04.15 11:28:48,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 13' 28""E","26° 10' 43""N","51° 13' 28""E","26° 10' 43""N",50,3,4,0,-127,677409.8,1362,4775,388,157,816,,,,15,238,0,0,0,0,0,0,0,249,44,31,0,0,191,,,,,,,,,,,,,,,,
144320,,14230,"26° 10' 43""N",26.17861111,"51° 13' 28""E",51.22444444,,,1,03.04.15 11:29:37,0,324,NP,401677409.8,03.04.15 11:32:18,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 13' 28""E","26° 10' 43""N","51° 13' 28""E","26° 10' 43""N",50,3,4,0,-127,677409.8,1362,4775,388,157,816,,,,16,46,0,0,0,35,66,167,204,223,98,233,75,15,229,,,,,,,,,,,,,,,,
144320,,14230,"26° 10' 43""N",26.17861111,"51° 13' 28""E",51.22444444,,,1,03.04.15 11:29:37,0,324,NP,401677409.8,03.04.15 11:33:09,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 13' 28""E","26° 10' 43""N","51° 13' 28""E","26° 10' 43""N",50,3,4,0,-127,677409.8,1362,4775,388,157,816,,,,16,72,0,0,0,0,0,0,0,216,133,6,154,32,23,,,,,,,,,,,,,,,,
144320,,14230,"26° 11' 17""N",26.18805556,"51° 12' 46""E",51.21277778,,,B,03.04.15 18:16:04,0,0,MA,401677418.4,03.04.15 18:16:04,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 12' 46""E","26° 11' 17""N","51° 12' 46""E","26° 11' 17""N",8,3,1,1,-118,677418.4,8259,10715,6365,54,7018,,,,15,174,0,0,0,0,0,0,0,246,3,0,0,0,74,,,,,,,,,,,,,,,,
144320,,14230,"26° 11' 36""N",26.19333333,"51° 12' 05""E",51.20138889,,,B,03.04.15 22:18:50,0,0,NP,401677414.8,03.04.15 22:18:50,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 12' 05""E","26° 11' 36""N","51° 12' 05""E","26° 11' 36""N",8,3,1,0,-126,677414.8,7246,16780,3129,70,7540,,,,15,232,0,0,0,0,0,0,0,235,231,74,0,0,237,,,,,,,,,,,,,,,,
144320,,14230,"26° 11' 10""N",26.18611111,"51° 12' 12""E",51.20333333,,,B,04.04.15 11:20:03,0,0,NP,401677412.3,04.04.15 11:20:03,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 12' 12""E","26° 11' 10""N","51° 12' 12""E","26° 11' 10""N",0,3,1,0,-125,677412.3,8926,25147,3168,87,10726,,,,15,174,0,0,0,0,0,64,29,7,193,252,29,131,197,,,,,,,,,,,,,,,,
144320,,14230,"26° 11' 35""N",26.19305556,"51° 12' 05""E",51.20138889,,,B,04.04.15 23:48:10,0,0,NP,401677408.9,04.04.15 23:48:10,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 12' 05""E","26° 11' 35""N","51° 12' 05""E","26° 11' 35""N",0,3,1,0,-130,677408.9,4199,11107,1587,113,11869,,,,16,40,0,0,2,28,76,57,130,8,175,246,149,232,104,,,,,,,,,,,,,,,,
144320,,14230,"26° 11' 59""N",26.19972222,"51° 11' 03""E",51.18416667,,,B,05.04.15 06:19:44,0,0,MA,401677407.5,05.04.15 06:19:45,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 11' 03""E","26° 11' 59""N","51° 11' 03""E","26° 11' 59""N",8,3,1,0,-120,677407.5,4663,8174,2660,116,13189,,,,16,72,0,0,0,64,1,0,64,240,210,214,57,43,213,,,,,,,,,,,,,,,,
144320,,14230,"26° 11' 58""N",26.19944444,"51° 11' 05""E",51.18472222,,,B,05.04.15 07:19:01,0,0,MB,401677407.5,05.04.15 07:19:01,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 11' 05""E","26° 11' 58""N","51° 11' 05""E","26° 11' 58""N",8,3,1,0,-130,677407.5,3695,5434,2511,80,10448,,,,15,200,0,0,0,0,1,128,138,118,108,51,2,182,51,,,,,,,,,,,,,,,,
144320,,14230,"26° 11' 52""N",26.19777778,"51° 11' 39""E",51.19416667,,,B,05.04.15 08:04:32,0,0,MA,401677402.2,05.04.15 08:04:32,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 11' 39""E","26° 11' 52""N","51° 11' 39""E","26° 11' 52""N",8,3,1,0,-131,677402.2,3581,5762,2225,88,10125,,,,102,117,208,75,75,122,170,,,,,,,,,,,,,,,,,,,,,,,,
144320,,14230,"26° 12' 04""N",26.20111111,"51° 11' 55""E",51.19861111,,,B,05.04.15 09:24:49,0,0,NP,401677404.7,05.04.15 09:24:50,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 11' 55""E","26° 12' 04""N","51° 11' 55""E","26° 12' 04""N",8,3,1,0,-133,677404.7,3226,8803,1182,99,9122,,,,15,200,0,0,0,0,0,0,0,255,153,25,0,0,120,,,,,,,,,,,,,,,,
144320,,14230,"26° 11' 37""N",26.19361111,"51° 13' 10""E",51.21944444,,,B,05.04.15 21:58:06,0,0,NP,401677409.5,05.04.15 21:58:07,1,N,FORMAT TEMPL. 31X8-A1 ,"51° 13' 10""E","26° 11' 37""N","51° 13' 10""E","26° 11' 37""N",0,3,1,0,-127,677409.5,4240,13299,1351,99,11986,,,,16,168,0,0,0,0,8,9,180,212,108,124,69,79,22,,,,,,,,,,,,,,,,
