DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange,Activity,ARange
Green,142698,,Transmission,Mk10,13-Feb-2017,05:10:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,05:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,05:30:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,05:40:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,05:50:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,06:00:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,06:10:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,06:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,06:30:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,06:40:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,06:50:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,07:00:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,07:10:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,07:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,07:30:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,07:40:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,07:50:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,08:00:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,08:10:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,08:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,08:30:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,08:40:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,08:50:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,09:00:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,09:10:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,09:20:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,09:30:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,09:40:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,09:50:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,10:00:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,10:10:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,10:20:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,10:30:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,10:40:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,10:50:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,11:00:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,11:10:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,11:20:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,11:30:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,11:40:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,11:50:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,12:00:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,12:10:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,12:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,12:30:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,12:40:00,,,,9.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,12:50:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,13:00:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,13:10:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,13:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,13:30:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,13:40:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,13:50:00,,,,9.0,0.50,,,,
Green,142698,,Transmission,Mk10,14-Feb-2017,14:00:00,,,,9.0,0.50,,,,
